down_time,left_time,right_time,forward_time,direction_changes,people_count,hand_visible_time,hand_below_face_time,hand_movement_count,gaze_left_time,gaze_right_time,gaze_center_time,gaze_changes,label
0,2.4499999999999993,0,0.25,3,1,2.6999999999999984,0,41,1.5000000000000007,0.8000000000000002,0.39999999999999997,12,normal
0,0.05,0,3.4499999999999957,1,1,3.4499999999999957,0,121,1.2500000000000004,0.05,2.2,12,normal
0,0.8000000000000002,0,2.3,4,1,3.099999999999997,0,0,1.0000000000000002,0.15000000000000002,1.950000000000001,12,normal
0.65,2.3,0,0.8000000000000002,6,1,0.7000000000000001,0,1,0.9500000000000003,0.65,2.1500000000000004,26,normal
0,0,3.4499999999999957,0.6,1,1,0,0,0,0.15000000000000002,2.799999999999998,1.1000000000000003,32,normal
0,0,3.649999999999995,0.35,1,1,0,0,0,0.44999999999999996,3.5499999999999954,0,1,normal
0,0,2.499999999999999,0.9500000000000003,2,1,0.15000000000000002,0,1,0.49999999999999994,1.7500000000000009,1.1500000000000004,19,normal
0,2.6499999999999986,0,0.8000000000000002,1,1,2.1500000000000004,0,0,1.2000000000000004,1.1000000000000003,1.1500000000000004,35,normal
0,0,0,2.9999999999999973,0,1,2.9999999999999973,0.2,2,1.2500000000000004,1.2000000000000004,0.5499999999999999,11,normal
1.950000000000001,0.7500000000000001,0,0.49999999999999994,2,1,2.8999999999999977,0,6,0.65,0.44999999999999996,2.1000000000000005,14,normal
0.15000000000000002,0,2.1500000000000004,0.9000000000000002,4,1,3.1999999999999966,0,37,0.7500000000000001,0.9000000000000002,1.5500000000000007,19,normal
2.799999999999998,0.05,0,0.5499999999999999,3,1,0.49999999999999994,0,14,1.7000000000000008,0.49999999999999994,1.2000000000000004,12,normal
0,0,0,3.2499999999999964,0,1,2.3,0.39999999999999997,2,1.900000000000001,0,1.3500000000000005,13,normal
0,1.3000000000000005,1.0000000000000002,0.8500000000000002,4,1,3.049999999999997,0.15000000000000002,18,2.5999999999999988,0.3,0.25,12,normal
0,0,1.2500000000000004,0.8500000000000002,1,0,0,0,0,0.9500000000000003,0.9000000000000002,0.25,4,cheating
0,0,1.800000000000001,2.2,9,1,0,0,0,2.000000000000001,1.800000000000001,0.2,7,cheating
0,2.849999999999998,0.05,0.65,2,1,0,0,0,1.950000000000001,0.9000000000000002,0.7000000000000001,19,cheating
0,1.7000000000000008,0,1.0000000000000002,4,1,0.35,0.3,2,1.2500000000000004,0.8000000000000002,0.49999999999999994,19,cheating
0,3.8499999999999943,0,0.05,2,1,0,0,0,3.4999999999999956,0.2,0.2,5,cheating
0,0,1.6000000000000008,2.0500000000000007,2,1,0.8500000000000002,0.39999999999999997,2,1.0000000000000002,1.2500000000000004,1.4500000000000006,17,cheating
2.549999999999999,0,0,1.2000000000000004,8,1,0,0,0,1.7000000000000008,0.1,1.950000000000001,7,cheating
0,0,0,3.349999999999996,0,1,2.549999999999999,2.5999999999999988,4,1.3500000000000005,0,1.950000000000001,10,cheating
0,0.1,0,3.099999999999997,3,1,2.4499999999999993,2.4499999999999993,5,0.44999999999999996,0.15000000000000002,2.5999999999999988,15,cheating
